,Header,Views,Notes,Org_Type
0,Electric Vehicle Population Data,"['1607', 'recent', 'views']","['State', 'of', 'Washington', '—']",State
1,FDIC Failed Bank List,"['1484', 'recent', 'views']","['Federal', 'Deposit', 'Insurance', 'Corporation', '—']",Federal
2,Crime Data from 2020 to Present,"['1132', 'recent', 'views']","['City', 'of', 'Los', 'Angeles', '—']",City
3,Dynamic Small Business Search (DSBS),"['1050', 'recent', 'views']","['Small', 'Business', 'Administration', '—']",Federal
4,National Student Loan Data System,"['887', 'recent', 'views']","['Department', 'of', 'Education', '—']",Federal
5,Lottery Powerball Winning Numbers: Beginning 2010,"['770', 'recent', 'views']","['State', 'of', 'New', 'York', '—']",State
6,"Death rates for suicide, by sex, race, Hispanic origin, and age: United States","['764', 'recent', 'views']","['U.S.', 'Department', 'of', 'Health', '&', 'Human', 'Services', '—']",Federal
7,U.S. Chronic Disease Indicators (CDI),"['645', 'recent', 'views']","['U.S.', 'Department', 'of', 'Health', '&', 'Human', 'Services', '—']",Federal
8,Walkability Index,"['590', 'recent', 'views']","['U.S.', 'Environmental', 'Protection', 'Agency', '—']",Federal
9,Fruit and Vegetable Prices,"['571', 'recent', 'views']","['Department', 'of', 'Agriculture', '—']",Federal
10,Motor Vehicle Collisions - Crashes,"['542', 'recent', 'views']","['City', 'of', 'New', 'York', '—']",City
11,Consumer Complaint Database,"['500', 'recent', 'views']","['Consumer', 'Financial', 'Protection', 'Bureau', '—']",Federal
12,"TIGER/Line Shapefile, 2019, 2010 nation, U.S., 2010 Census 5-Digit ZIP Code Tabulation Area (ZCTA5) National","['492', 'recent', 'views']","['U.S.', 'Census', 'Bureau,', 'Department', 'of', 'Commerce', '—']",Federal
13,Auto Sales,"['479', 'recent', 'views']","['Department', 'of', 'Transportation', '—']",Federal
14,Demographic Statistics By Zip Code,"['477', 'recent', 'views']","['City', 'of', 'New', 'York', '—']",City
15,National Stock Number Extract,"['471', 'recent', 'views']","['General', 'Services', 'Administration', '—']",Federal
16,Harmonized Tariff Schedule of the United States (2023),"['468', 'recent', 'views']","['US', 'International', 'Trade', 'Commission', '—']",Federal
17,U.S. Electric Utility Companies and Rates: Look-up by Zipcode (2020),"['433', 'recent', 'views']","['Department', 'of', 'Energy', '—']",Federal
18,Alzheimer's Disease and Healthy Aging Data,"['430', 'recent', 'views']","['U.S.', 'Department', 'of', 'Health', '&', 'Human', 'Services', '—']",Federal
19,Mental Health Care in the Last 4 Weeks,"['396', 'recent', 'views']","['U.S.', 'Department', 'of', 'Health', '&', 'Human', 'Services', '—']",Federal
20,Food Price Outlook,"['387', 'recent', 'views']","['Department', 'of', 'Agriculture', '—']",Federal
21,ZIP Code Data,"['372', 'recent', 'views']","['Department', 'of', 'the', 'Treasury', '—']",Federal
22,Public School Characteristics 2020-21,"['331', 'recent', 'views']","['Department', 'of', 'Education', '—']",Federal
23,Air Quality,"['324', 'recent', 'views']","['City', 'of', 'New', 'York', '—']",City
24,Real Estate Sales 2001-2020 GL,"['321', 'recent', 'views']","['State', 'of', 'Connecticut', '—']",State
25,National Flood Hazard Layer (NFHL),"['280', 'recent', 'views']","['Federal', 'Emergency', 'Management', 'Agency,', 'Department', 'of', 'Homeland', 'Security', '—']",Federal
26,Lottery Mega Millions Winning Numbers: Beginning 2002,"['270', 'recent', 'views']","['State', 'of', 'New', 'York', '—']",State
27,Subcontracting Network (SubNet) System,"['267', 'recent', 'views']","['Small', 'Business', 'Administration', '—']",Federal
28,U.S. Hourly Precipitation Data,"['250', 'recent', 'views']","['National', 'Oceanic', 'and', 'Atmospheric', 'Administration,', 'Department', 'of', 'Commerce', '—']",Federal
29,Supply Chain Greenhouse Gas Emission Factors for US Industries and Commodities,"['248', 'recent', 'views']","['U.S.', 'Environmental', 'Protection', 'Agency', '—']",Federal
30,"TIGER/Line Shapefile, 2019,  nation, U.S., Primary Roads National Shapefile","['242', 'recent', 'views']","['U.S.', 'Census', 'Bureau,', 'Department', 'of', 'Commerce', '—']",Federal
31,NYPD Shooting Incident Data (Historic),"['241', 'recent', 'views']","['City', 'of', 'New', 'York', '—']",City
32,HUD Low and Moderate Income Areas,"['227', 'recent', 'views']","['Department', 'of', 'Housing', 'and', 'Urban', 'Development', '—']",Federal
33,College Scorecard,"['224', 'recent', 'views']","['Department', 'of', 'Education', '—']",Federal
34,Warehouse and Retail Sales,"['223', 'recent', 'views']","['Montgomery', 'County', 'of', 'Maryland', '—']",County
35,Popular Baby Names,"['220', 'recent', 'views']","['City', 'of', 'New', 'York', '—']",City
36,"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System","['220', 'recent', 'views']","['U.S.', 'Department', 'of', 'Health', '&', 'Human', 'Services', '—']",Federal
37,"TIGER/Line Shapefile, 2019,  nation, U.S., Current Metropolitan Statistical Area/Micropolitan Statistical Area (CBSA) National","['212', 'recent', 'views']","['U.S.', 'Census', 'Bureau,', 'Department', 'of', 'Commerce', '—']",Federal
38,Listing of Active Businesses,"['210', 'recent', 'views']","['City', 'of', 'Los', 'Angeles', '—']",City
39,"TIGER/Line Shapefile, 2019,  nation, U.S., Current County and Equivalent National Shapefile","['203', 'recent', 'views']","['U.S.', 'Census', 'Bureau,', 'Department', 'of', 'Commerce', '—']",Federal
